claim_id,product_category,fault_category,reported_damage_type,claim_amount,warranty_status,python_predicted_class,python_conf_valid,python_conf_invalid,python_conf_manual,python_top_confidence,gtm_predicted_class,gtm_conf_valid,gtm_conf_invalid,gtm_conf_manual,gtm_top_confidence,is_class_match,top_confidence_difference,model_consistency_status,master_engine_decision,decision_rationale
CLM-00805,Consumer Electronics,Third-party unauthorized disassembly,Customer Induced Damage,571.68,Active,Invalid Claim,0.0039,0.9678,0.0283,0.9678,Invalid Claim,0.0000,1.0000,0.0000,1.0000,True,0.0322,Strong Match,Likely Invalid,Claim rejected due to policy violations: HARD FAIL: Excluded damage detected - 'Third-party unauthorized disassembly' is explicitly excluded by policy terms.
CLM-00672,Industrial & Automotive Tools,"Normal consumable wear (brushes, chuck teeth)",Customer Induced Damage,240.36,Active,Invalid Claim,0.0000,0.9998,0.0002,0.9998,Invalid Claim,0.0000,1.0000,0.0000,1.0000,True,0.0002,Strong Match,Manual Review Required,Policy review trigger active: Uncommon fault category 'Normal consumable wear (brushes; chuck teeth)': Manual technician inspection required.
CLM-00656,Home Appliances,Third-party modifications,Customer Induced Damage,113.93,Active,Invalid Claim,0.0000,0.9998,0.0002,0.9998,Invalid Claim,0.0000,1.0000,0.0000,1.0000,True,0.0002,Strong Match,Likely Invalid,Claim rejected due to policy violations: HARD FAIL: Excluded damage detected - 'Third-party modifications' is explicitly excluded by policy terms.
CLM-00541,Home Appliances,Third-party modifications,Customer Induced Damage,193.94,Active,Invalid Claim,0.0025,0.9952,0.0023,0.9952,Invalid Claim,0.0000,1.0000,0.0000,1.0000,True,0.0048,Strong Match,Likely Invalid,Claim rejected due to policy violations: HARD FAIL: Excluded damage detected - 'Third-party modifications' is explicitly excluded by policy terms.
CLM-00625,Home Appliances,Drum spin malfunction,Tampering,400.44,Active,Invalid Claim,0.0042,0.9927,0.0031,0.9927,Invalid Claim,0.0000,1.0000,0.0000,1.0000,True,0.0073,Strong Match,Manual Review Required,Policy review trigger active: Unauthorized Service Alert: Product has history of maintenance by uncertified third-party facility.
CLM-00531,Industrial & Automotive Tools,Gearbox seizure,Serial Mismatch,70.02,Active,Invalid Claim,0.0000,1.0000,0.0000,1.0000,Invalid Claim,0.0000,1.0000,0.0000,1.0000,True,0.0000,Strong Match,Manual Review Required,Chronological or serial contradiction detected: Serial Number Discrepancy: Hardware backplate serial differs from registered warranty documentation.
CLM-00545,Home Appliances,Commercial heavy utilization,Customer Induced Damage,125.60,Active,Invalid Claim,0.0000,0.9998,0.0002,0.9998,Invalid Claim,0.0000,1.0000,0.0000,1.0000,True,0.0002,Strong Match,Likely Invalid,Claim rejected due to policy violations: HARD FAIL: Excluded damage detected - 'Commercial heavy utilization' is explicitly excluded by policy terms.
CLM-00839,Industrial & Automotive Tools,Armature burning,Tampering,262.87,Active,Invalid Claim,0.0000,1.0000,0.0000,1.0000,Invalid Claim,0.0000,1.0000,0.0000,1.0000,True,0.0000,Strong Match,Manual Review Required,Policy review trigger active: Unauthorized Service Alert: Product has history of maintenance by uncertified third-party facility.
CLM-00996,Industrial & Automotive Tools,Abnormal overload beyond specified torque limits,Customer Induced Damage,53.55,Active,Invalid Claim,0.0000,0.9920,0.0080,0.9920,Invalid Claim,0.0000,1.0000,0.0000,1.0000,True,0.0080,Strong Match,Likely Invalid,Claim rejected due to policy violations: HARD FAIL: Excluded damage detected - 'Abnormal overload beyond specified torque limits' is explicitly excluded by policy terms.
CLM-00829,Consumer Electronics,Power surge overvoltage,Customer Induced Damage,458.00,Active,Invalid Claim,0.0000,0.9906,0.0094,0.9906,Invalid Claim,0.0000,1.0000,0.0000,1.0000,True,0.0094,Strong Match,Likely Invalid,Claim rejected due to policy violations: HARD FAIL: Excluded damage detected - 'Power surge overvoltage' is explicitly excluded by policy terms.
CLM-00936,Home Appliances,Water pump leakage,Serial Mismatch,166.49,Active,Invalid Claim,0.0000,1.0000,0.0000,1.0000,Invalid Claim,0.0000,1.0000,0.0000,1.0000,True,0.0000,Strong Match,Manual Review Required,Chronological or serial contradiction detected: Serial Number Discrepancy: Hardware backplate serial differs from registered warranty documentation.
CLM-00840,Industrial & Automotive Tools,Trigger switch failure,Tampering,64.00,Active,Invalid Claim,0.0000,0.9778,0.0222,0.9778,Invalid Claim,0.0000,1.0000,0.0000,1.0000,True,0.0222,Strong Match,Manual Review Required,Policy review trigger active: Unauthorized Service Alert: Product has history of maintenance by uncertified third-party facility.
CLM-00774,Consumer Electronics,Battery failure to charge,Tampering,81.20,Active,Invalid Claim,0.0000,0.9903,0.0097,0.9903,Invalid Claim,0.0000,1.0000,0.0000,1.0000,True,0.0097,Strong Match,Manual Review Required,Policy review trigger active: Unauthorized Service Alert: Product has history of maintenance by uncertified third-party facility.
CLM-01419,Industrial & Automotive Tools,Chuck bearing breakdown,Date Inconsistency,70.36,Active,Manual Review,0.0031,0.0094,0.9875,0.9875,Manual Review,0.0000,0.0000,1.0000,1.0000,True,0.0125,Strong Match,Manual Review Required,Chronological or serial contradiction detected: Chronological Contradiction: Reported fault occurrence (2026-01-12) is prior to retail purchase date (2026-01-26).
CLM-01284,Consumer Electronics,Screen flickering,Date Inconsistency,453.41,Active,Manual Review,0.0000,0.0000,1.0000,1.0000,Manual Review,0.0000,0.0000,1.0000,1.0000,True,0.0000,Strong Match,Manual Review Required,Chronological or serial contradiction detected: Chronological Contradiction: Reported fault occurrence (2023-12-09) is prior to retail purchase date (2023-12-27).
CLM-01017,Consumer Electronics,Bluetooth/Wi-Fi failure,Incomplete Documentation,233.98,Active,Manual Review,0.0000,0.0000,1.0000,1.0000,Manual Review,0.0000,0.0000,1.0000,1.0000,True,0.0000,Strong Match,Manual Review Required,Policy review trigger active: Primary proof of purchase receipt missing: Claimant identity verification required.
CLM-01148,Consumer Electronics,Bluetooth/Wi-Fi failure,Date Inconsistency,478.93,Active,Manual Review,0.0000,0.0000,1.0000,1.0000,Manual Review,0.0000,0.0000,1.0000,1.0000,True,0.0000,Strong Match,Manual Review Required,Chronological or serial contradiction detected: Chronological Contradiction: Reported fault occurrence (2025-11-14) is prior to retail purchase date (2025-11-26).
CLM-01043,Consumer Electronics,Screen flickering,Date Inconsistency,512.41,Active,Manual Review,0.0000,0.0000,1.0000,1.0000,Manual Review,0.0000,0.0000,1.0000,1.0000,True,0.0000,Strong Match,Manual Review Required,Chronological or serial contradiction detected: Chronological Contradiction: Reported fault occurrence (2025-07-19) is prior to retail purchase date (2025-08-07).
