claim_id,product_id,product_category,product_brand,product_model,product_serial,purchase_date,purchase_price,retailer,invoice_number,warranty_start_date,warranty_expiry_date,warranty_duration_months,product_age_days,remaining_warranty_days,is_extended_warranty,fault_occurrence_date,fault_category,fault_description,damage_type,has_receipt,has_warranty_card,has_damage_photo,has_serial_photo,has_repair_report,missing_document_count,serial_number_match,previous_repairs_count,unauthorized_repair_flag,claim_date_conflict_flag,claim_class
CLM-00303,PRD-00303,Home Appliances,KitchenPro,ThermaCold 320L,SN-KIT-5588489,2025-07-30,1634.8,National Appliance Depot,INV-2026-81349,2025-07-30,2027-07-20,24,417,303,0,2026-09-07,Electronic PCB failure,Reported genuine hardware failure: Electronic PCB failure under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,0,0,0,Valid Claim
CLM-01411,PRD-01411,Home Appliances,AeroBreeze,FrostGuard Side-by-Side 600L,SN-AER-7470249,2023-10-05,1723.84,Industrial Supply Direct,INV-2026-14426,2023-10-05,2026-09-19,36,1081,0,0,2026-09-16,Motor burnout,Fault occurred near warranty expiration boundary. Customer requests grace period evaluation.,Borderline Lifecycle,1,1,1,1,0,0,1,1,0,0,Manual Review
CLM-01105,PRD-01105,Consumer Electronics,NovaSound,ApexBook Pro 16,SN-NOV-1628491,2026-04-17,809.67,Industrial Supply Direct,INV-2024-38717,2026-04-17,2029-04-01,36,156,924,1,2026-09-17,Bluetooth/Wi-Fi failure,Diagnostic report inconclusive regarding whether component failure was thermal surge or defect.,Ambiguous Diagnostic,1,1,1,1,1,0,1,2,0,0,Manual Review
CLM-01163,PRD-01163,Home Appliances,AeroBreeze,ThermaAir Silent,SN-AER-3991546,2024-11-20,369.43,Industrial Supply Direct,INV-2024-28312,2024-11-20,2027-11-05,36,669,411,1,2026-09-11,Compressor failure,Claim submitted without primary proof of purchase receipt. Customer submitted affidavit instead.,Incomplete Documentation,0,1,1,0,0,2,1,0,0,0,Manual Review
CLM-00798,PRD-00798,Consumer Electronics,PixelCraft,VividTab 11 Max,SN-PIX-7674289,2026-04-08,1300.01,TechMegaStore Downtown,INV-2026-20066,2026-04-08,2027-04-03,12,165,195,0,2026-09-10,Bluetooth/Wi-Fi failure,Unit previously opened and tampered with at non-authorized workshop (Joe's Unofficial Fix Shop).,Tampering,1,1,1,1,1,0,1,1,1,0,Invalid Claim
CLM-01030,PRD-01030,Consumer Electronics,PixelCraft,VividTab 11 Max,SN-PIX-9236614,2025-11-12,1263.19,Official Brand Store,INV-2025-18772,2025-11-12,2027-11-02,24,312,408,0,2026-09-16,Battery failure to charge,Claim submitted without primary proof of purchase receipt. Customer submitted affidavit instead.,Incomplete Documentation,0,1,1,0,0,2,1,0,0,0,Manual Review
CLM-00753,PRD-00753,Home Appliances,AeroBreeze,CleanCycle QuickWash 7kg,SN-AER-2151576,2025-04-26,743.54,Electronics Hub Metro,INV-2026-50258,2025-04-26,2027-04-16,24,512,208,0,2026-09-15,Commercial heavy utilization,Physical inspection reveals clear Commercial heavy utilization violating warranty coverage terms.,Customer Induced Damage,1,1,1,1,0,0,1,0,0,0,Invalid Claim
CLM-00014,PRD-00014,Industrial & Automotive Tools,ApexIndustrial,IronGrind 9-inch Industrial,SN-APE-7829332,2025-06-27,367.97,TechMegaStore Downtown,INV-2026-66498,2025-06-27,2028-06-11,36,450,630,0,2026-09-04,Armature burning,Reported genuine hardware failure: Armature burning under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,1,0,0,Valid Claim
CLM-00977,PRD-00977,Consumer Electronics,ApexTech,PixelSlate 12,SN-APE-6699558,2025-04-16,1237.97,TechMegaStore Downtown,INV-2026-43786,2025-04-16,2026-04-11,12,522,0,0,2026-09-14,Bluetooth/Wi-Fi failure,Failure: Bluetooth/Wi-Fi failure. Note: product warranty expired 162 days ago.,Hardware Wear,1,1,1,1,0,0,1,1,0,0,Invalid Claim
CLM-00691,PRD-00691,Home Appliances,FrostGuard,FrostGuard 450L Smart,SN-FRO-2724954,2024-07-15,1170.43,TechMegaStore Downtown,INV-2026-64432,2024-07-15,2026-07-05,24,797,0,0,2026-09-15,Motor burnout,Failure: Motor burnout. Note: product warranty expired 77 days ago.,Hardware Wear,1,1,1,1,0,0,1,1,0,0,Invalid Claim
CLM-00069,PRD-00069,Industrial & Automotive Tools,MegaWrench,IronForge TwinPiston 100L,SN-MEG-3401116,2024-01-12,416.02,Official Brand Store,INV-2025-70236,2024-01-12,2027-12-22,48,982,458,1,2026-09-09,Trigger switch failure,Reported genuine hardware failure: Trigger switch failure under regular domestic usage.,Hardware Defect,1,1,1,1,1,0,1,0,0,0,Valid Claim
CLM-00740,PRD-00740,Consumer Electronics,ApexTech,NovaPad Pro 10,SN-APE-8539737,2024-11-11,583.67,TechMegaStore Downtown,INV-2026-43169,2024-11-11,2026-11-01,24,678,42,0,2026-09-07,Unresponsive touch panel,Unit previously opened and tampered with at non-authorized workshop (Joe's Unofficial Fix Shop).,Tampering,1,1,1,1,1,0,1,2,1,0,Invalid Claim
CLM-00369,PRD-00369,Consumer Electronics,PixelCraft,ApexBook Pro 16,SN-PIX-6115834,2026-02-22,966.21,Industrial Supply Direct,INV-2026-30578,2026-02-22,2027-02-17,12,210,150,0,2026-09-07,Bluetooth/Wi-Fi failure,Reported genuine hardware failure: Bluetooth/Wi-Fi failure under regular domestic usage.,Hardware Defect,1,1,1,1,0,0,1,1,0,0,Valid Claim
CLM-00571,PRD-00571,Home Appliances,FrostGuard,FrostGuard 450L Smart,SN-FRO-8414160,2024-08-27,386.66,Prime Retail Express,INV-2026-66602,2024-08-27,2026-08-17,24,754,0,0,2026-09-14,Thermostat failure,Failure: Thermostat failure. Note: product warranty expired 34 days ago.,Hardware Wear,1,1,1,1,0,0,1,1,0,0,Invalid Claim
CLM-00820,PRD-00820,Industrial & Automotive Tools,IronForge,TorqueGrinder 1500W,SN-IRO-9004511,2026-08-04,954.13,Official Brand Store,INV-2024-87274,2026-08-04,2028-07-24,24,47,673,0,2026-08-31,Unlubricated operation,Physical inspection reveals clear Unlubricated operation violating warranty coverage terms.,Customer Induced Damage,1,1,1,1,0,0,1,0,0,0,Invalid Claim
CLM-01067,PRD-01067,Home Appliances,KitchenPro,KitchenPro Grill 25L,SN-KIT-5080755,2024-10-10,1749.59,Electronics Hub Metro,INV-2024-13160,2024-10-10,2027-09-25,36,710,370,1,2026-09-15,Drum spin malfunction,Claim submitted without primary proof of purchase receipt. Customer submitted affidavit instead.,Incomplete Documentation,0,1,1,0,0,2,1,0,0,0,Manual Review
CLM-00716,PRD-00716,Home Appliances,ThermaPure,FrostGuard Side-by-Side 600L,SN-THE-9158676,2026-07-13,639.22,Official Brand Store,INV-2025-24984,2026-07-13,2029-06-27,36,69,1011,0,2026-09-10,Motor burnout,Device submitted does not match registered unit. Serial on invoice differs from backplate.,Serial Mismatch,1,0,1,1,0,1,0,0,0,0,Invalid Claim
CLM-00728,PRD-00728,Home Appliances,CleanCycle,AeroBreeze DualCool 2.0T,SN-CLE-5052611,2025-07-24,305.65,Industrial Supply Direct,INV-2024-12035,2025-07-24,2027-07-14,24,423,297,0,2026-09-02,Third-party modifications,Physical inspection reveals clear Third-party modifications violating warranty coverage terms.,Customer Induced Damage,1,1,1,1,0,0,1,0,0,0,Invalid Claim
CLM-00610,PRD-00610,Consumer Electronics,PixelCraft,PixelSlate 12,SN-PIX-7190456,2024-04-26,300.06,Electronics Hub Metro,INV-2025-49522,2024-04-26,2026-04-16,24,877,0,0,2026-09-10,Battery failure to charge,Failure: Battery failure to charge. Note: product warranty expired 157 days ago.,Hardware Wear,1,1,1,1,0,0,1,0,0,0,Invalid Claim
CLM-00803,PRD-00803,Home Appliances,ThermaPure,ThermaCold 320L,SN-THE-1436075,2024-06-15,1755.09,National Appliance Depot,INV-2025-87458,2024-06-15,2026-06-05,24,827,0,0,2026-09-02,Drum spin malfunction,Failure: Drum spin malfunction. Note: product warranty expired 107 days ago.,Hardware Wear,1,1,1,1,0,0,1,2,0,0,Invalid Claim
CLM-01192,PRD-01192,Consumer Electronics,PixelCraft,PixelSlate 12,SN-PIX-2087833,2026-05-19,2046.56,National Appliance Depot,INV-2026-33826,2026-05-19,2027-05-14,12,124,236,0,2026-05-02,Unresponsive touch panel,Discrepancy detected: Claimed fault occurrence date predates registered purchase date.,Date Inconsistency,1,1,1,1,0,0,1,0,0,1,Manual Review
CLM-01169,PRD-01169,Industrial & Automotive Tools,ApexIndustrial,MegaWash Pro 2500PSI,SN-APE-7337109,2024-07-16,796.45,Electronics Hub Metro,INV-2025-29565,2024-07-16,2028-06-25,48,796,644,1,2024-07-10,Gearbox seizure,Discrepancy detected: Claimed fault occurrence date predates registered purchase date.,Date Inconsistency,1,1,1,1,0,0,1,0,0,1,Manual Review
CLM-01111,PRD-01111,Consumer Electronics,ApexTech,ApexBook Pro 16,SN-APE-3517358,2024-09-26,1441.85,Industrial Supply Direct,INV-2024-94930,2024-09-26,2026-09-16,24,724,0,1,2026-09-18,Screen flickering,Fault occurred near warranty expiration boundary. Customer requests grace period evaluation.,Borderline Lifecycle,1,1,1,1,0,0,1,1,0,0,Manual Review
